card_number,card_name,keywords_on_card
1088,Pierce the Veil,Basic Attack; Foretell; foretell+3
1089,Pinspitter,Delve; Effigy; On Hit; Pin
1090,Pious Sermon,HOLY; Perform; Zeal
1091,Pirate Bank,GOLD; HEALTH; Increase; Persistent; tempValue+1; Tidal
1092,Pirate Bank (Tides),GOLD; Increase; myGold/50; Persistent; tempValue+1; Tidal
1093,Pirate Ink I,Grounded; Talent
1094,Pirate Ink II,Grounded; Talent
1095,Pirate Ink III,Grounded; Talent
1096,Pirate Ink IV,Grounded; Talent
1097,Pirate Ink V,Grounded; Talent
1098,Pirate Parlour,Durability; GOLD; Grounded; Open; Pay
1099,Pirate's Parley,Booty; damageDealtThisTurn; Elite; Execute; GOLD; Inflict Charmed
1100,Pitch,Reduce
1101,Plague Strike,Flanking; other(status)Poison; Poison
1102,Plain Bow,DEX INT; Rainbow; STR HOLY
1103,Plated,Gain Armor; On Hit
1104,Plated Maul,Armor; On Hit; Swap
1105,Plunder,Delve; On Hit; Reward
1106,Pocket Aces,Conjure
1107,Poison Arrow,Inflict Poison
1108,Poison Coating,Hit; Melee; Poison; Ranged
1109,Poison Damage,poisonDamage; Your Poison
1110,Poison Nova,Inflict; Nova; novacards; Poison; Potency; Repeat
1111,Polish,Armor; Blessing; typesOfEnergy
1112,Polished Steel,Armor; damageBonus+1; Equipment; Upgradeable
1113,Portal,Battle; Leave
1114,Potion of Alacrity,Haste; One Use
1115,Potion of Trickery,Add; Evasion; One Use; Snare
1116,Potion of Visions,One Use
1117,Potion Sash,Activate; Conjure; Durability; Potion
1118,Pounce (Companion),Bleeding; Free
1119,Powder Pockets,Bomb; Bombs; Charges; Conjure
1120,Power Armor,Activate; Armor; Durability; Fortified
1121,Prayer,Bury; Gain HOLY
1122,Precision,Critical Hit; Deep Wounds; Melee Actions; otherWounds
1123,Predator's Guile,Ambush; Critical Hits; Darkness; Melee Actions; While
1124,Preordain,Grounded; One Use; Upgrade
1125,Preparation,DEX; Gain DEX
1126,Prepare for Prey,Bleeding; Inflict Marked; Soul; Spend
1127,Preserve,Remove ALL; Return; Status Effects
1128,Prestidigitation,Reduce
1129,Prestige,Conjure
1130,Pride,Jinxed; Unplayable
1131,Prismatic Shard,Anger; Evasion; Focus; HEALTH; Memorized; Use DEX; Use HOLY; Use INT; Use STR
1132,Private,
1133,Profane Shell,Afflictions; Barrier; Convert
1134,Profanity,Corrupted; Increase
1135,Profess,Conjure; Focus; Foretell; my(status)Focus; Prophetic Bolts
1136,Project Kata,highestCopiesPlayed; Mantra
1137,Promotion,Charges; Conjure; Coronation; Deplete; Rally
1138,Prophetic Bolt,Inflict Doom; tempValue; When Foretold
1139,Prosperity,Consumes; Focus; GOLD
1140,Providence,Foretell; foretell+3; Foretold; Gain HOLY
1141,Prowl (Companion),Advantage; companionlevel; Critical Hit; Ferocity; Grant
1142,Prowler,Ferocity; Melee; Ranged
1143,Prowling Guardian (Companion),companionlevel; Ferocity; Turn
1144,Psionic Pulse,(cardvalue); cardsInHand
1145,Psychic Binding,Elite; Scar; Subjugate; Your Companion
1146,Pull from Aether,Conjure; Magic Action
1147,Pull from Fire,Adaptation; Melee
1148,Pure gold,GOLD; Lucky Coins; myGold/10
1149,Pyroclasm,Add; Burning; Destroy Pyroclasm; Memorized; Remove ALL; Turn
1150,Quarterstaff,(cardvalue); All Quarterstaffs; On Hit
1151,Quick Adaptation,Permanently
1152,Quick Chemistry,Potion
1153,Quick Jab,Ambush; Basic Attack; Make
1154,Quick Recitation,Scholar; Trigger; Turn
1155,Quick Recovery,Charges; Gain HEALTH; my(status)Stagger; Stagger
1156,Quickchange,Ambush; Conjure
1157,Quicksand,(cardvalue); Conjure; Doom; Evasion; Momentum; Quicksand
1158,Quickshot,Critical Hit; Evasion
1159,Rabbit Foot,Activate; Coins; Conjure; Durability; Lucky Coin
1160,Radiant Assault,Basic Attack; Make; Repeat; typesOfEnergy
1161,Radiant Burst,Blessings; Empower; Gain DEXINTSTRHOLY; Spend
1162,Radiant Mace,(cardvalue); Critical Hit; Gain HOLY
1163,Radiant Power,Delve; Equipment; Surge
1164,Radiant Recovery,damageBonus+2; healingTurn; HEALTH; Upgradable
1165,Rage Forge,Adapt; Anger
1166,Raider's Reward,Basic Attack; Basic Attacks; Choose; Conjure; Make; One Use; Swap
1167,Rainbow,Arrow; Conjure
1168,Rallying Shout,(cardvalue)Fury; Anger; Charges; Fury; Gain Rally
1169,Ransack,Gain DEX; Scavenge
1170,Ransom,Add; Pay Out; Sinister
1171,Rapid Reload,Arrow; Conjure
1172,Rapier,Add; Can; Flanking; Glimmer; Piercing
1173,Rapture,Can; cardsInGraveyard; Lifedrain; permaValue; Rebound; Repeat
1174,Rations,Create; Ingredients Persistent; One Use; Untempered
1175,Rattler,Flanking; Perform; Reaping
1176,Ravage,Ascended; On Hit; Rampage; VOIDVOID Defiled
1177,Ravage (Companion),Advantage; companionlevel; Grant DEX
1178,Raven Claws,Focus
1179,Raven Familiar,Activate; Durability
1180,Reach Within,Defiled
1181,Reapers Mark,After; Darkness; Deep Wound; Hit
1182,Reaping Strike,Lifedrain; Reaping
1183,Reave,Critical Hit; HEALTH; Souls; Spend
1184,Reaver,Frenzy; HEALTH; Restore
1185,Recast,actionsPlayed; Conjure; Flow; Magic Action
1186,Recite,Conjure; Delve; Hymn; Scholar
1187,Reckless Charge,Ambush; Take
1188,Reckless Frenzy,Melee Action
1189,Reckoning,Critical Hit; Melee Actions; Soul; souls
1190,Reclaim,Charges; Soul; Spend
1191,Reconfigure,Battleclaw; Charges; Persistent; Play
1192,Reconnaissance,Ambush; Foretell; foretell+5
1193,Recruitment,Aeternal Regelia; Perform; regalia; Subjugate
1194,Rectify,Firecast; Gain HEALTH; Zeal
1195,Recuperate,Anger; enemyDamageTakenLastTurn; HEALTH; Unscathed
1196,Recurring Thoughts,Choose; Conjure; damageBonus+1; Upgradeable
1197,Recycle,Return
1198,Reforge,Basic Attack; Delve; Grounded
1199,Refracture,Repeat; typesOfEnergy
1200,Remembrance,Enchantment; Soul; Spend
1201,Rend (Companion),Advantage; Affliction; companionlevel+2; Inflict
1202,Renew,HEALTH; HOLY; INT; Lasting
1203,Renewing Insights,HEALTH
1204,Repel,Barrier
1205,Replication,Channel; Clone; Summon; Turn
1206,Represent,Banner; Delve
1207,Reprisal,Add; damageTakenLastTurn
1208,Reservoir,Channel; Turn
1209,Resonance,Conjure
1210,Resourceful Presence,ANY
1211,Restock,Bombs; Conjure
1212,Retaliate,Gain STR; Interrupt; Melee
1213,Retribution,Affliction; Gain Reflect; Lifedrain
1214,Return to Dust,Agile; Ambush; Costs; Reset
1215,Reverberations,damageBonus+1; INT; Removed; Upgradeable
1216,Reverence,Ascend; Divine
1217,Revive,Bury; Cleanse; HEALTH
1218,Revived,Companion
1219,Revivify,HEALTH
1220,Rewind,actionsPlayedLastTurn; Conjure
1221,Rhymebind,Critical Hit; Frozen; Inflict; Inflict Permafrost; On Hit
1222,Rigged Explosives,Charges; damageBonus; Upgradeable; Your Bombs
1223,Righteous Blades,Basic Attack; Basic Attacks; Burning; Hit; HOLY On
1224,Righteous Vigor,Frenzy; HEALTH; HOLY; Repeat
1225,Righteousness,Blessings; myBlessings
1226,Rimebind,Frozen; Gain INT; INT
1227,Ring of Power,Burning; damageBonus; Frozen; GOLD; HEALTH; myGold; Randomly; Repeat; Upgradeable
1228,Riot Shield,Activate; Armor; Can; Durability
1229,Rip (Companion),Advantage; companionlevel; Grant Souls
1230,Riptide,Persistent
1231,Rise Again,Scars; Shuffle
1232,Ritual Contract,Execute; HEALTH
1233,Ritual of Aphotic,Add; After; myLevel/2; Performances; Poison; Potency
1234,Ritual of Rain,Affliction; After; Ferocity; Performances
1235,Ritual of Strength,After; HEALTH; Maximum HEALTH; Performances
1236,Ritual of Strings,After; Effigy; Performances; Pin
1237,Ritual of Vodou,After; HEALTH; Maximum Health; myMaxHealth; Performances
1238,Ritual Totem,Summon; Totem
1239,Ritualist,Performance; Ritual
1240,Roar (Companion),Advantage; Anger; companionlevel; Grant; Inflict Stagger
1241,Rogue's Locket,DEX; Evasion; Gain DEX; While
1242,Roll the Bones,
1243,Rousing Sermon,Divine; Perform; Zeal
1244,Rousing Shanty,Ferocity; Perform
1245,Ruby Prism,Armor; Cards; enchantmentStacks; STR
1246,Ruination,Critical Hit
1247,Rumblings,Charges; Deplete; Return; Shuffle
1248,Rummage,Charges; damageBonus+1; Scavenge; Upgradeable
1249,Rune of Persistence,Add Persistent; Grounded; One Use
1250,Rune of Smithing,Adaptation Slot; Add; Grounded; Melee Action; One Use
1251,Runehammer,Adapt; On Hit
1252,Rush of Steel,Anger; Basic Attacks; Gain Haste; Shuffle
1253,Rushed Forgery,Create; Untempered
1254,Rust,enchantmentStacks; Rust; Upgrade
1255,Rusty Lamp,Activate; Durability; Grounded; Permanently; permaValue; Revelation
1256,Rusty Spear,Blessings; Halifax; Hallowed Spear; permaValue; Transform
1257,Sabotage,allEnergy; Blessing; Dispel; Energy; Momentum; Reduce Battle
1258,Sacred Tome,Code; Delve; Devotion; One Use
1259,Sacred Ward,
1260,Safeguard,Free; Ward
1261,Sageblast,Gain INT; Magic Actions; magicCards
1262,Saint,Gain HEALTH; Gain HOLYHOLY; HOLY
1263,Salty,Critical Hit
1264,Salty Femur,Armor; Gain Fortified; Garnish; One Use
1265,Salvage,Basic Attack; Make; permaValue; Rebound; Return
1266,Salvation,Anger; Defiled; During; Form; HEALTH; Your Demon
1267,Sanctified Strikes,Actions; HOLY; myEnergyHOLY
1268,Sanctify,Burning; Firecast; Grounded; HEALTH; Inflict
1269,Sanctuary,Bury; Interventions; Shuffle
1270,Sand Nova,Basic Attack; Make; Nova; novacards; Repeat
1271,Sand Soldiers,Clone; Create; Evasion; Persistent
1272,Sandblast,Agile; Interrupt; Momentum
1273,Sandcastle,Barrier; Channel; Clone; Clones; clones; Gain Barrier
1274,Sandkick,Gain Evasion; Junk; On Hit; Scrap Pile
1275,Sandshroud,Evasion; Momentum; Swiftness
1276,Sandstride,Dexterity; Evade; Surge
1277,Sanguinaria,Darkness; Lifedrain; Melee Actions
1278,Sanguine Casting,Blood
1279,Sanguine Scrying,Bleeding
1280,Sanguine Shield,Barrier; Bleeding
1281,Sanguine Step,Conjure; Evasion; Gain Immune; Materialize; Slowed
1282,Sanguine Surge,Gain STR; STR; Take
1283,Sanguine Visions,Blood; Conjure
1284,Sapphire Prism,Cards; Chain; enchantmentStacks; INT
1285,Savagery,Crushing; STR
1286,Scalding,Perform; Scalding; Scalding Unique
1287,Scatter Souls,Souls; Spend; Vengeance
1288,Scatterbrain,Boss; Can; Grounded; Replace
1289,Scattershot,Ambush; Arrow; Cascade; Continuity; Evasion; Finale; Flanking; Play
1290,Scheme,Charges; DEX; Reduce; Sinister
1291,Schism,Zeal
1292,Scimitar,actionsPlayed; Burning; Flanking; Flow; Frozen; Inflict
1293,Scorch,Attuned; Burning; While Fire
1294,Scorpio's Ruin,Advance; After; Doom; Jinxed
1295,Scorpio's Ruin II,Advance; After; Darkness; Doom
1296,Scorpio's Ruin III,After; Doom; Time
1297,Scorpion Strike,Agile; Inflict Doom; Inflict Stunned; Persistent
1298,Scythe,Execute; Gain HEALTH; Overkill Reaping
1299,Sea Legs,Critical Hit; Tide
1300,Sea Shanty,Change; Performance; Shanty; Tide
1301,Searing Radiance,Burning
1302,Searing Ray,Burning; Firecast; Gain INT
1303,Searing Weapon,Basic Attack; Burning; Focus; Make; While
1304,Seeker's Wisdom,Foretelling
1305,Seers Orb,Doom; Inflict; tempValue; When Foretold
1306,Seething Anger,(cardvalue)Fury; Add; Anger; Fury; STR
1307,Seismic Shield,Armor
1308,Seismic Slam,Gain STRSTR; Rampage
1309,Serenade,Charmed; Inflict; Performing
1310,Serenity,Focus; HEALTH
1311,Sergeant,
1312,Serrated Arrow,Bleeding Piercing; Inflict
1313,Served Cold,Frozen; HEALTH; Inflict; Ingredient; Stance; While
1314,Served Hot,Burning; Inflict; Ingredient; Momentum; Stance; While
1315,Set Sail,Foretell; foretell+3; Foretold; Increase; Persistent; tempValue; Tidal
1316,Set Sail (Tides),Add; Gain DEX; Persistent; s; tempValue+1; Tidal
1317,Set the Trap,Add Snares; allEnergy
1318,Set to Blow,Bombs; Conjure
1319,Shadow Mastery,damageBonus; Darkness; Increase; permaValue; Rebound; Upgradeable
1320,Shadow Play,Advantage; Darkness; Evasion
1321,Shadow Sanctuary,Evasion; Regenerate; Sinister
1322,Shadowtheft,Delve; Item
1323,Shakedown,Add; Corruption; corruptionCards; GOLD; Greed; Sinister
1324,Shamshir,Add; Agile; Ambush; Gain Evasion
1325,Shape Steel,Adaptations; Charges; Conjure
1326,Shapeless Mastery,
1327,Shard of Divinity,Blessing; HOLY
1328,Shard of Malice,Bleeding; Inflict; Memorized; Poison; Use DEX; Use STR
1329,Sharp,Add; Piercing
1330,Sharp Leaves,Bleeding; Deep Wound; Garnish; Inflict; One Use
1331,Sharp Pin,Armor; Maximum HEALTH; otherMaxHealth/20; Persistent; Steal; They
1332,Sharp Wires,Add; damageBonus; Snare; Snares
1333,Sharpening Stone,Basic Attack; Grounded; One Use; Upgrade
1334,Sharpshooter,Ranged Actions; rangedactionsPlayed
1335,Shatter,Frozen
1336,Shattering Stance,Brittle; Immune; Pinned
1337,Shell Box,Ammo; Delve; One Use; Persistent; Untempered
1338,Shield of Faith,Armor; Gain HOLY; On Draw
1339,Shield Throw,Armor; Conjure; Flanking; my(status)Armor; Shield Throw
1340,Shieldglare,HOLY; Impervious
1341,Shiv,Bleeding; DEX; Inflict; On Hit; Sinister
1342,Shock Therapy,Chain; Gain Focus
1343,Shock Wires,Chain; Gain DEX; Gain DEXDEX; One Use; Persistent; Untempered
1344,Shocking Grasp,Chain; my(status)Chain; Shocked Chain
1345,Shortbow,Arrow; Flanking; Shoot
1346,Shovel,Activate; Deplete; Destroy; Durability; Scavenge; Treasure
1347,Show must go on,HEALTH; Perform; Performance; performanceStacks
1348,Shrapnel,Bomb; Create; One Use; Persistent; Untempered
1349,Shrapnel Bomb,Charge; Persistent; Ready; Speed
1350,Shred,Cat; Critical Hit; Form; Shift
1351,Shred (Companion),Advantage; Bleeding; companionlevel/2; Critical Hit; Grant; Inflict
1352,Shredder Axe,Critical Hit; Interrupt; Performing
1353,Shuriken,Play
1354,Sift the sands,Shuffle
1355,Sifting Time,Barrier; Foretell; Persistent
1356,Sight Beyond,
1357,Silent Shanty,Ambush; Perform; Reset
1358,Simulacrum,Conjure
1359,Singe,Burning; Bury; Inflict
1360,Singular Focus,All; Code; Combat; Element; Grounded; Permanently Attune
1361,Singularity,Play
1362,Sinner,Corrupted; GOLD; Sin; Sinister; Swap
1363,Siphon Magic,Blessing; Steal
1364,Siphoning Pin,Anger; Maximum HEALTH; otherMaxHealth/20; Persistent; Steal; They
1365,Siphoning Strike,Frenzy; HEALTH
1366,Siren's Call,Inflict Charmed; Perform; Performance; performanceStacks; Persistent; Tidal
1367,Siren's Call,Charmed; Finish; other(status)Charmed; Performance; Persistent; Piercing
1368,Skillshot,Critical Hits; Foretell; foretell+3; Gain Barrier; Ranged
1369,Skylars Arrow,Charmed; Inflict; Piercing
1370,Skylars Quiver,Memorized; Perform; Skylars Arrow
1371,Slam (Companion),Advantage; companionlevel*3; Dazed; Inflict
1372,Slayer's Advance,Darkness; Execute; Overkill
1373,Sleep,
1374,Sleep Sand,Can; Charges; HEALTH; Sleep
1375,Sleeping Poison,Charges; Inflict; Jinxed
1376,Sleight of Hand,Ambush; Charges; Conjure; Delve
1377,Sloth,Slow; Unplayable
1378,Slow,Inflict; Slow
1379,Smite,HOLY; Piercing
1380,Smoldering Ribs,Burning; Garnish; Inflict; Interrupt; One Use
1381,Snake Dance,Charmed; Gain Potency; Perform; Performance; performanceStacks
1382,Snake Familiar,Activate; Affliction; Corrupted; Durability; Gain HEALTH; otherAfflictions; Poison
1383,Snare,One Use; Piercing; Snares; Take; tempValue; Upgrade
1384,Sneak Attack,Ambush
1385,Snowstorm,areaSpecial; Campsites; Frozen; Intensifies
1386,Solar Lance,Burning; Deals; Firecast; Piercing
1387,Solarium,Code; Firecast; HEALTH
1388,Solid Strike,Brittle; Inflict; On Draw; tempValue
1389,Song of Aldour,After; DEX; Performances
1390,Song of Lovers,After; Charmed; Inflict; myLevel; Performances
1391,Song of Prime,After; HEALTH; Performances; Restore
1392,Song of Resilience,After; Barrier; Performances
1393,Song of Sages,After; Performances
1394,Song of Slaughter,After; myLevel; Performances; Piercing
1395,Song of Strength,After; myLevel; Performances
1396,Song of Vitae,After; Lifedrinker Venom; Performances
1397,Soul Imprint,Convert; Create; NEUTRAL; Untempered
1398,Soul Kama,permaValue; Rebound; Souls; Upgrade
1399,Soul Nova,Heavy; Nova; novacards; Repeat; Soul
1400,Soul of Vengeance,Critical Hit; On Draw; Soul
1401,Soul Tether,Critical Hit; Souls
1402,Soulbinder,HEALTH; Heavy; Maximum HEALTH; Souls; souls/2; Steal
1403,Soulbolt,Affliction; Flanking; Soulbolt; Souls; Spend
1404,Soulbrand,Critical Hit; Soul
1405,Soulfire Bomb,Charge; Lifedrain; Persistent; Ready; Reaping; Speed
1406,Soulfood,Create; Heavy; Ingredient; Performance
1407,Soulreave,Charges; Flanking; Gain Souls
1408,Souls,HEALTH; Souls; Use Souls
1409,Soulsearch,Charges; Souls; Spend
1410,Soultap,cardsInGraveyard; Discard Pile; Soul; Take
1411,Spark of Eternity,Enchantment; Grounded; Imbue; Untempered
1412,Sparkclaw,Activate; Armor; Chain; Durability; Zap
1413,Spectral Guardian (Companion),Afflictions; otherAfflictions; Reduce
1414,Spell Echo,Gain Slow; Play
1415,Spell Thief,Play
1416,Spellbind Bracers,Activate; Attune; Durability; Element
1417,Spellbinders,Persistent; Swap
1418,Spellbreaker,Afflictions; Anger; Blessing; Dispel; myAfflictions
1419,Spellburn,Bury; Conjure; HOLY
1420,Spellcoil,actionsPlayed; Chain; Flow; Inflict; Shocked
1421,Spellcraft,Conjure; Focus; Magic Action
1422,Spellsnap,imprints; Magic Action
1423,Spellstrike,Basic Attack; Blessing; Dispel; Make
1424,Spicy Acid,Garnish; Inflict; Lose; One Use; Poison; Potency; Sated
1425,Spin the Web,Charmed; Poison; Snares
1426,Spirit Arrow,Deals; Focus
1427,Spirit Bond,Grounded; HEALTH; Reduce; Spirit Bond; Turn
1428,Spirit Duet,Ancestral; Charges; Gains Souls; Perform; Performance; performanceStacks
1429,Spirit Vessel,Effigy; Heal; Maximum HEALTH; myMaxHealth/5; Requires
1430,Spiritbomb,Maximum HEALTH; On Hit; Reaping
1431,Spiritual Warfare,Basic Attack; Make
1432,Split,Charges; Clone; Summon
1433,Spoils of War,Conjure; Item
1434,Staff of Thunder,Chain
1435,Staggering Blow,Balance; Basic Attack; Basic Attacks; Make
1436,Stance Dance,Enter; Stance
1437,Stand Your Ground,Armor
1438,Standoff,Armor; Impervious; Persistent; Unscathed
1439,Stardart,(cardvalue)Stardart; Can; Chance; On Hit; Revelation; Stardart
1440,Starfall,Channel; Conjure; Stardart; Turn
1441,Starmap,Conjure; Foretold; Stardarts; tempValue+2
1442,Stash of Weapons,Basic Attacks; Conjure
1443,Steady Ground,Armor; Critical Hit
1444,Steady Stance,Immunity; STR; Stunned
1445,Steady Strike,Basic Attack; Charges; Make
1446,Steel Arrow,
1447,Steel Evolution,Adapt
1448,Steel Faith,Blessings; Gain Armor; highestBlessings
1449,Steel Golem,Activate; Durability; Reduce
1450,Steel Longsword,Armor
1451,Steel Soul,Barrier; Basic Attack
1452,Steel Strikes,Adaptation; adaptations; Gain STR; On Hit
1453,Steel Titan,Armor; Combat; damageBonus+10; Gain Fortified; Upgradeable
1454,Steelcharge,Untempered
1455,Steelskin Potion,Armor; One Use
1456,Steelwall,Add; Armor; Steelcharge
1457,Stimshot,Bolster; Charges; damageBonus+1; Gain Armor; Take; Upgradeable
1458,Stockpile,Bomb; damageBonus+2; Play; Starts; Upgradeable
1459,Stone Legends,Shuffle; Stone Blade; Untempered Monolith
1460,Stone Nova,Armor; Nova; novacards; Repeat
1461,Stone Stance,Armor; Bleeding; Immune
1462,Stone Strength,Anger; Return; Stance
1463,Stoneshape,Enter Stone; Gain Armor; other(status)Stagger; Stagger; Stance
1464,Stoneskin,Charges; Resilience; Totems; totems
1465,Stonewall,Armor; Increase; On Draw; tempValue
1466,Storm Arrow,Cascade; Chain; Conjure; Storm Arrow
1467,Storm Nova,Chain; Nova; novacards; Repeat
1468,Storm Shield,actionsPlayed; Chain; Flow; Gain Barrier
1469,Stormaxe,Cascade; Chain; Conjure; Zap
1470,Stormbinders,Chain; Swap
1471,Stormblade,Add; Chain; Charged Blade
1472,Stormbolt,Conjure; Continuity; Empower; Zap; Zap Chain
1473,Stormbrand,Critical Hit; Lightning
1474,Stormcast,Chain; damageBonus; Mergecraft; Upgradeable
1475,Stormshell,Barrier; Chain; Channel; When Stormshell
1476,Stormstrikes,Basic Attack; Lightning Bolt
1477,Strange Vial,Conjure; One Use; Persistent; Potion; Untempered
1478,Strike of Anguish,permaValue; Rebound
1479,Strike Vitals,HEALTH; Lifedrain; Melee; On Hit
1480,Stroke of Misery,Bane; Basic Attack; Inflict; Make
1481,Studied Strike,Add; tempValue+3
1482,Stupor,Discard Phase; Gain Focus; Skip; Sleep
1483,Stylus,Conjure; Mantra; On Hit
1484,Substance Z,Charges; Double
1485,Succumb,Defile; permaValue; Waning
1486,Sudden Oration,Ambush; Gain HOLY; HOLY; Perform
1487,Sudden Strike,Basic Attack; Make; Play
1488,Sugarplum,Add; Garnish; Inflict Charmed; One Use; Potency; Prank
1489,Sunbolt,Blessings; Increase
1490,Sunder,Basic Attack; Critical Hit; Return; Stance
1491,Sunder Armor,Armor; other(status)Armor; Remove; Vulnerable
1492,Sungod's Armory,Basic Attacks; If HOLY
1493,Sunken Forge,Grounded; Persistent
1494,Sunlance,Firecast; If HOLY; Virtue; Zeal
1495,Suntree Twig,Demons; Grounded; Lifedrain; Undead
1496,Surge of Dexterity,Basic Attack; Conjure; Gain DEX
1497,Surge of Intellect,Focus; Gain INT
1498,Surge of Strength,Gain STR; HEALTH
1499,Surge of Unity,Charges; Gain DEX; HOLY; INT STR
1500,Surgestone,damageBonus; Heavy; Momentum; Surge; Upgradeable
1501,Surveillance,Basic Attack; Equipment; Foretell; foretell+3; Take
1502,Suspicious Offer,highestSnareUpgrade; Put; Snare; Upgrade
1503,Sweeping Strikes,Conjure; Frenzy; Melee Action
1504,Swift Strike,Return; Stance
1505,Swipe (Companion),Advantage; Attacks; companionlevel+4
1506,Symbiote,Lifedrain; Monster Actions; Psionic
1507,Symbol of Unity,
1508,Synaptic Storm,Can; Chain; Upgraded
1509,Tabu Ritual,Charges; Return
1510,Tactical Retreat,Ambush; Arrows; Conjure; Evasion
1511,Tails,Gain HOLY; One Use
1512,Take Cover,Ambush; Armor; Reset; Sinister
1513,Take the Hit,Charges; Prevent; Stagger
1514,Taunt,Perform; Snares; Upgrade
1515,Taurus' Rage,Advance; After; Basic Attacks; INTDEX
1516,Taurus' Rage II,Advance; After; Anger; Basic Attacks; HEALTH
1517,Taurus' Rage III,After; Basic Attacks; Mark; Tauros
1518,Tectonic Fury,Anger; Enter Frenzied; On Draw; Stance; STR
1519,Televan Compass,Activate; Durability; Foretell; foretell+3
1520,Televan Insight,Foretell; foretell+3; mapsindeck; Tide; Treasure Map
1521,Televan Rum,Delirious; HEALTH; One Use
1522,Temperance,Armor
1523,Tempered,Execute; Upgrade
1524,Tempered Soul,Scholar
1525,Tempered Steel,Add; Anger; Fury; Gain Armor; my(status)Anger
1526,Tempest Blast,Chain; Crushing
1527,Ten-Sided Strike,Conjure; DEX; On Hit
1528,Tenderize,Crushing Blow; Imbue; Ingredient; Ingredients
1529,Terminate,Consumes; Focus; Remove
1530,Test of Faith,allEnergy; HOLY; Oathbound; Take
1531,Test Subject,damageBonus+1; Inflict; Upgradeable
1532,Thaumaturgy,Corrupted; Increase; Magic; Magic Action; magicActionsPlayed
1533,The Dawnbringer,Dawnbringer
1534,The Hunger,Defiled; Destroy; On Hit; Upgrade
1535,The Journey,Choose; Path; paths; Scholar
1536,Thick Skin,Armor; Cooking; Sated
1537,Thinktank,allEnergy; Spend
1538,Thorned Pin,Impervious; Maximum HEALTH; otherMaxHealth/20; Persistent; Steal; They
1539,Thoughtcast,Add Psionic
1540,Thousand Cuts,DEX
1541,Thrill of the Find,DEX
1542,Throw Technique,Attacks; Basic; Melee Actions; Melee Basic; One Use; Permanently; Ranged Actions
1543,Throwing Knife,Conjured; Free; Hits; Perform; tempValue
1544,Thunderclap,Cascade; Chain; Critical Hit
1545,Thundergod's Fury,Anger; Critical Hit
1546,Tidal Shift,Change; Channel; Clone; Tide
1547,Tidalweave,Basic Attacks; Clone; clones; Clones; Summon
1548,Time is Money,Haste; Persistent; While
1549,Time's Up,Slain
1550,Timestop,Gain INTINT; Grounded; Scholar
1551,Timetap,Charges; Gain INT; INT; Scholar
1552,Tinker,Bomb; Charges; Delve
1553,Tinkerer's Toolbox,Otherwise
1554,Toolbelt,Ammo; Bomb; Charges; Conjure; Delve
1555,Total Recall,differentCards; Experience
1556,Totem of Carnage,Anger; enchantmentStacks; Turn
1557,Totem of Defiance,Armor; enchantmentStacks; Turn
1558,Totem of Spirits,enchantmentStacks; Souls; Turn
1559,Totem of Storms,Chain; Conjure; enchantmentStacks; Turn; Zap
1560,Totemstrike,Basic Attack; Increase; Make; Totems
1561,Towershield,Armor; damageBonus; Upgrades
1562,Toxic Bloom,damageBonus+1; Execute; Maximum HEALTH; Permanently; Poison; Slay; Upgradeable
1563,Toxic Relation,Maximum HEALTH; Poison
1564,Toxic Salve,Inflict; Poison
1565,Toxicity,Inflict; Poison; Potency
1566,Tracking,Bleeding; Command; Memorized; Turn
1567,Tradepost,ANY; Grounded; One Use; Replace
1568,Trancor,Chain; Continuity; Gain Chain
1569,Transcendence,highestCopiesPlayed
1570,Transmorph,Conjure; Copy
1571,Trapper's Sentry,During; Evasion; Interrupt
1572,Treasure for Trash,Charges; Scrap Pile
1573,Treaty of Insight,
1574,Treaty of Joy,Perform
1575,Treaty of Mercy,Both; HEALTH
1576,Treaty of Might,Anger
1577,Treaty of Peace,Charmed; Inflict
1578,Tremors,Return; Shuffle; Stance
1579,Tremorsense,Inflict; Stagger; Summon; Totem; totems
1580,Trickshot,Conjure; Delve; Finale
1581,Tripwire,Snares; Upgrade
1582,Trophy Shot,Execute; Heal; HEALTH
1583,True Faith,Ascended; Blessings; Double
1584,Truesight Lodestone,damageBonus; Unplayable; Upgrade; Upgradeable
1585,Twincasting,Magic Action
1586,Twinlightning,Chain
1587,Twinned,Attack
1588,Twins,Consumes; Copy; Focus
1589,Twinstrike,Basic Attack; Flanking; Make
1590,Typhon's Cunning,Advance; After; Monster; Untempered Monster
1591,Typhon's Cunning II,Advance; After; Monster Cards; Shift
1592,Typhon's Cunning III,After; Monster Cards; Monster Enchantments
1593,Umbral Armor,Activate; Armor; Corrupted; Defiled; Durability; Gain Fortified; VOID
1594,Umbral Lance,Add; Vile Wound
1595,Umbral Script,Activate; Defile; Durability
1596,Uncanny Luck,Coins; Critical Hit; Improved; luck; Luck
1597,Underling,GOLD; Human; Subjugate; Your Companion
1598,Undertow,Double; drowning; Drowning; Persistent
1599,Undertow,damageBonus+1; Drowning; Inflict; Persistent; Upgradeable
1600,Unite,Banners; Rally; Slay
1601,Unknown Meat,Create; Garnish; Ingredient; One Use
1602,Unleash Arsenal,Basic Attack; Grounded; Make
1603,Unstoppable,Armor; Pinned; Slowed; Stunned
1604,Up the Crow's Nest,Ambush; damageBonus+1; Reset; Upgradeable
1605,Upheaval,
